x,y,z,x,y,z
0.027042264,0.48355213,0.10633108,0.027042264,0.48355213,0.10633108
0.05186004,0.4108101,0.09734402,0.05186004,0.4108101,0.09734402
0.04284511,0.41732094,0.10330472,0.04284511,0.41732094,0.10330472
0.039854627,0.408404,0.10664712,0.039854627,0.408404,0.10664712
0.04582959,0.4004948,0.10258888,0.04582959,0.4004948,0.10258888
0.048834585,0.44730043,0.090563014,0.048834585,0.44730043,0.090563014
0.05045772,0.44938934,0.09033455,0.05045772,0.44938934,0.09033455
0.047915604,0.44927773,0.09284631,0.047915604,0.44927773,0.09284631
0.042906873,0.386755,0.10283596,0.042906873,0.386755,0.10283596
0.04965838,0.3910872,0.097125724,0.04965838,0.3910872,0.097125724
0.070014685,0.41875574,0.058227763,0.070014685,0.41875574,0.058227763
0.059602242,0.44940177,0.07960922,0.059602242,0.44940177,0.07960922
0.022292333,0.55013907,0.03814117,0.022292333,0.55013907,0.03814117
0.021846054,0.53839374,0.06920621,0.021846054,0.53839374,0.06920621
0.023606913,0.54450643,-0.03177412,0.023606913,0.54450643,-0.03177412
0.022725668,0.55172825,0.0022957243,0.022725668,0.55172825,0.0022957243
0.042681172,0.49448422,-0.07129619,0.042681172,0.49448422,-0.07129619
0.04048883,0.47038785,-0.0782888,0.04048883,0.47038785,-0.0782888
0.021638608,0.47523266,-0.087295376,0.021638608,0.47523266,-0.087295376
0.022641221,0.50241846,-0.078586265,0.022641221,0.50241846,-0.078586265
0.0317104,0.40322313,-0.06586667,0.0317104,0.40322313,-0.06586667
0.023445848,0.3218064,-0.04465267,0.023445848,0.3218064,-0.04465267
0.021898324,0.3380778,-0.041873332,0.021898324,0.3380778,-0.041873332
0.020193985,0.51999766,0.08975411,0.020193985,0.51999766,0.08975411
0.016892994,0.50097084,0.10253513,0.016892994,0.50097084,0.10253513
0.07015746,0.46412253,0.050812326,0.07015746,0.46412253,0.050812326
0.06283686,0.42250225,0.08218318,0.06283686,0.42250225,0.08218318
0.058094226,0.43050125,0.086671196,0.058094226,0.43050125,0.086671196
0.05564585,0.4266082,0.091503374,0.05564585,0.4266082,0.091503374
